step,time_min,time_h,load_multiplier,pv_multiplier,pv_generation_kw,v_min,v_max,v_mean,v_min_bus,v_max_bus,violating_buses_count,overvoltage_buses_count,undervoltage_buses_count,losses_kw,control_mode,total_q_dispatch_kvar,total_p_curtailment_kw,ders_controlled,optimization_status,sensitivity_cache_hit,overv_sourcebus,overv_650,overv_rg60,overv_633,overv_634,overv_671,overv_645,overv_646,overv_692,overv_675,overv_611,overv_652,overv_670,overv_632,overv_680,overv_684
0,0,0.0,0.55,0.0,0.0,1.000038578598515,1.0374887201940486,1.0151743277559644,650,rg60,0,0,0,30.389935729465236,optimization,0.0,0.0,0,no action needed,False,1.000050888192462,1.000038578598515,1.0374887201940486,1.022522644943257,1.011414517130156,1.0177031984341445,1.0201543462714797,1.0191130584182537,1.0177031952324163,1.0172835302372756,1.0022640206775058,1.007343898210812,1.0214972172490875,1.023891510392782,1.0177032124274288,1.0066167074858057
1,5,0.08333333333333333,0.545,0.0,0.0,1.0000395308534433,1.035407051840198,1.0136474304172909,650,rg60,0,0,0,29.91655442348644,optimization,0.0,0.0,0,no action needed,False,1.0000516326369728,1.0000395308534433,1.035407051840198,1.0206228520265552,1.0095918144883775,1.0159033994924125,1.0204255848360537,1.0193935830917584,1.0159033963119106,1.0154922031679734,1.0029291760776442,1.0012269819545776,1.0196275528520926,1.0219823297793882,1.0159034134633342,1.0038583838039614
2,10,0.16666666666666666,0.54,0.0,0.0,1.000040602031863,1.0354087916602093,1.0139479224094943,650,rg60,0,0,0,29.33098091364046,optimization,0.0,0.0,0,no action needed,False,1.0000524648233053,1.000040602031863,1.0354087916602093,1.0208607298565138,1.0099347941571843,1.016279544218975,1.0206645451140757,1.0196417762493826,1.0162795410689773,1.015886184139578,1.0035982361082953,1.001712755887286,1.0199063200987402,1.0222072619996858,1.016279558194773,1.004413652943064
3,15,0.25,0.535,0.0,0.0,1.00004167200957,1.035410529818447,1.014248174991922,650,rg60,0,0,0,28.752690993592104,optimization,0.0,0.0,0,no action needed,False,1.000053296103531,1.00004167200957,1.035410529818447,1.0210983949197667,1.0102774861579398,1.016655375245344,1.0209033452938372,1.0198898138310437,1.0166553721258247,1.0162798330685547,1.0042668118702354,1.002198166956065,1.0201848387535297,1.0224319905570431,1.0166553892260146,1.0049684839340054
4,20,0.3333333333333333,0.53,0.0,0.0,1.000042740741903,1.035412266241588,1.0145481733084822,650,rg60,0,0,0,28.181671320993235,optimization,0.0,0.0,0,no action needed,False,1.0000541264428937,1.000042740741903,1.035412266241588,1.0213358382675983,1.010619877885438,1.017030876527108,1.021141975384705,1.0201376858315014,1.0170308734380393,1.0166731325215472,1.0049348373634563,1.002683206922246,1.0204630976359066,1.022656506916633,1.0170308905126475,1.0055228403025063
5,25,0.4166666666666667,0.525,0.0,0.0,1.0000438082316008,1.0354140009334982,1.0148479182282362,650,rg60,0,0,0,27.617907493167383,optimization,0.0,0.0,0,no action needed,False,1.0000549558434646,1.0000438082316008,1.0354140009334982,1.0215730604204587,1.0109619700635226,1.0174060488707586,1.0213804345559374,1.020385391414019,1.0174060458121117,1.017066083365953,1.005602313492258,1.0031678814737772,1.0207410973694673,1.0228808115754255,1.0174060628611623,1.0060767253683607
6,30,0.5,0.52,0.0,0.0,1.000044874483054,1.0354157339016072,1.0151474108128595,650,rg60,0,0,0,27.061383608034735,optimization,0.0,0.0,0,no action needed,False,1.0000557843086832,1.000044874483054,1.0354157339016072,1.021810062343075,1.011303763859622,1.0177808939195365,1.0216187247409076,1.0206329325082675,1.0177808908912835,1.0174586873093097,1.0062692441370464,1.0036521881896547,1.0210188391547312,1.023104905473512,1.0177809079148006,1.0066301398706643
7,35,0.5833333333333334,0.5166666666666667,0.0,0.0,1.0000455846365348,1.0354168882657546,1.015346934536244,650,rg60,0,0,0,26.694386413513016,optimization,0.0,0.0,0,no action needed,False,1.000056336104531,1.0000455846365348,1.0354168882657546,1.0219679426870307,1.0115314627774596,1.0180306111408,1.0217774933023207,1.0207978708401808,1.0180306081327943,1.0177202331411852,1.0067135722295875,1.0039748537306603,1.0212038587481373,1.023254185645116,1.018030625139302,1.0069988260585099
8,40,0.6666666666666666,0.5133333333333333,0.0,0.0,1.0000462942343578,1.035418041855503,1.0155463442822796,650,rg60,0,0,0,26.33059498984683,optimization,0.0,0.0,0,no action needed,False,1.000056887480566,1.0000462942343578,1.035418041855503,1.022125724068405,1.0117590274815675,1.0182801809732926,1.0219361842594834,1.0209627335616718,1.018280177985522,1.0179816226965566,1.0071576469448855,1.0042973590902085,1.0213887623573792,1.0234033711196278,1.0182801949750309,1.007367299432417
9,45,0.75,0.51,0.0,0.0,1.0000470032841473,1.03541919468197,1.0157456424975604,650,rg60,0,0,0,25.970007379096753,optimization,0.0,0.0,0,no action needed,False,1.0000574384425913,1.0000470032841473,1.03541919468197,1.0222834079898035,1.0119864601975088,1.0185296059522828,1.0220948000202386,1.0211275230807746,1.0185296029847346,1.0182428587465766,1.0076014807209506,1.0046197032131972,1.0215735518128841,1.0235524633186646,1.0185296199572555,1.0077355655573852
